ad_id,ad_name,long_version_video_id,short_version_video_id
825,enormous-varactor,1905,164
826,vellicative-chemisorb,865,753
827,outvenomed-tithonias,1547,139
828,ejective-straked,603,1391
829,acrylonitrile-bloodlust,983,349
830,outstations-tying,531,1688
831,chieferies-emblics,682,385
832,squiresses-bigheadedness,156,1654
833,effete-cutch,430,1694
834,pellack-juvenals,1242,1750
835,cervixes-alibied,1163,1588
836,depopulating-graips,65,1248
837,mycovirus-nattering,66,659
838,unappalled-laveers,707,1850
839,suboptimizations-unpunctualities,1659,1412
840,frush-beadman,1065,1720
841,interclavicular-sugging,286,1276
842,diurnalists-papyrus,1072,331
843,shortchanged-contemplatist,203,711
844,babblements-heptahedra,1640,1490
845,vacances-trephine,1773,777
846,arable-sinistrorse,1892,676
847,swingisms-floppily,1542,1093
848,chinwag-defrags,1584,1007
849,turcopole-galravaging,1418,1722
850,fuliginosities-denotate,1723,1348
851,coltishnesses-compearances,1201,930
852,informations-transpirable,700,297
853,axoplasms-daman,185,835
854,bough-contraried,1293,1876
855,wester-torpescences,677,522
856,accidental-laterized,150,355
857,teds-afterwards,1235,783
858,sculs-morelles,1697,244
859,noncomputerized-hillocks,1552,574
860,bewrayed-emanations,391,1300
861,aerodart-porcelainise,84,308
862,cabezon-epileptically,1403,415
863,parotides-lairising,1878,200
864,rentings-multicapitate,999,891
865,rail-incrementals,1390,1832
866,fetchers-lovesome,110,601
867,eukaryon-claim,432,623
868,deejay-haemocyte,1968,1483
869,relatives-quellers,1480,1407
870,rheotaxis-subcodes,315,1529
871,commonplaces-pseudocode,347,1915
872,pungles-brocatels,1733,997
873,maraudings-microcelebrity,41,1717
874,azym-abelia,585,166
875,antimonites-recalcitration,197,24
876,rebalancing-dognapping,1711,1870
877,bilabiate-belittler,1513,298
878,overperch-overwhelming,1760,344
879,enmeshments-rogued,1730,1461
880,codomains-kinships,1243,790
881,unworried-ensigns,116,1976
882,protonations-acridities,1225,307
883,tretinoins-fisheries,831,1575
884,clofibrates-divisional,1118,363
885,dodgeries-parallelopipeda,1429,138
886,dibenzofurans-prioritizes,587,1254
887,lewisites-liripoop,483,173
888,nanodots-multivolume,25,934
889,butane-thatches,536,1297
890,wayless-belt,1369,260
891,instituted-weathercloths,282,842
892,underestimation-forfaiters,1270,445
893,hedonistic-mams,1404,1665
894,reassembly-therefor,1253,1958
895,dubitates-homologise,434,1315
896,monoecy-pettifoggings,313,1361
897,psammophyte-unwithered,292,333
898,burnooses-malaxage,1177,49
899,sorrowfulnesses-henotheism,899,1698
900,tomographic-realtones,550,1974
901,benzoyl-inclose,1879,1394
902,girsh-offerors,981,1660
903,stronghold-sylphides,1570,418
904,outdrinks-apoptoses,987,1805
905,stottering-reusability,375,357
906,coprophagies-fantads,1655,905
907,secretors-timelessness,1748,1448
908,retrainable-deriver,1158,176
909,battening-georgics,1076,1852
910,imbower-brickclay,649,140
911,unwedgeable-guttating,895,936
912,larcenously-amnions,1329,1453
913,cevadilla-agon,618,1508
914,tormentings-rhabdomyoma,253,216
915,pyrolising-pudendous,630,551
916,stern-koji,546,450
917,earbashes-salaciousnesses,1705,990
918,exemplify-thusness,810,1767
919,photomosaics-pigsconce,1579,1898
920,genizoth-parabases,640,1639
921,heaths-platinised,1479,1565
922,hubcaps-onshoring,991,1858
923,brimfull-protistan,814,334
924,codeine-reopposing,739,576
925,brigadier-iguanians,60,902
926,thumblings-oar,1596,977
927,silphium-outsoars,1086,1091
928,mountebankisms-hushes,1647,1099
929,gynaecia-plumberies,579,431
930,secrete-reptiloid,1713,1763
931,actualizes-sanest,1355,174
932,overeducating-splotchy,1625,275
933,galoping-greenbug,1774,114
934,catarrhines-fairnytickle,848,721
935,thanks-frati,1598,360
936,woodblocks-caprices,1787,1756
937,latents-aches,625,1828
938,liney-bitchiness,1676,152
939,kinetheodolites-savarin,1994,1030
940,briquettes-aoristic,1207,717
941,omasal-murmured,1126,1260
942,paludicolous-pannier,610,809
943,quartodeciman-wheughed,1679,572
944,derestricted-copycat,1462,423
945,uncured-shmooziest,1111,1472
946,sows-mairehau,1514,105
947,epidotisation-fanions,1096,1641
948,inputs-subassembled,370,639
949,embus-slotback,336,1700
950,puce-nonhereditary,464,233
951,nymphomaniacal-arame,1820,985
952,friendings-ectogenesis,367,1646
953,percolates-exility,403,1531
954,sharns-niceness,250,527
955,pinacotheca-refroze,61,1768
956,gentlepersons-irremissions,1658,53
957,decumbencies-lairy,642,1595
958,disaggregation-noncallable,1223,186
959,subclustering-manhandles,17,1555
960,hyperexcited-argon,665,196
961,cums-blackleads,28,1614
962,metalize-ridiculously,1124,566
963,caporals-taskers,1709,144
964,versant-laesie,1925,1637
965,menstrua-peeress,1445,650
966,punitory-otorhinolaryngologists,1213,1482
967,roues-livering,1428,407
968,optic-buzzbaits,1592,448
969,sithen-interfiber,908,1437
970,glomerule-twenty,931,222
971,banal-likest,199,124
972,consilient-shamefaced,1749,1488
973,paviors-devotionists,294,254
974,myrmecochory-sombreness,1447,1341
975,unpretentious-verbena,944,1132
976,hydrotherapist-hairy,350,596
977,texturising-venatic,218,1441
978,pukas-secrecy,328,593
979,naughtiness-prequalification,949,971
980,gasohols-enterectomy,37,182
981,iridial-pentoside,1819,1747
982,decarbonating-apologize,1313,1432
983,pulsidge-spectrometric,670,1582
984,chokey-allurers,1110,376
985,interposition-religionize,766,449
986,lamenters-namaste,339,1495
987,insouled-countermeasures,1288,1724
988,eviscerated-boogers,290,1274
989,kenos-choreographies,1267,989
990,iodine-clodhopping,4,104
991,latrias-workwatchers,102,799
992,deckles-pourtraicts,513,145
993,tarantaras-cid,1668,1
994,ipecacs-unvulgar,433,1516
995,blew-thraward,788,1151
996,bating-hagdon,1430,1018
997,newsgroup-degenerateness,1491,1230
998,dionysian-shrimping,1727,1413
999,cocooned-ampliation,1195,948
